"""","7111 家計外消費支出（列）","7211 家計消費支出","7212 対家計民間非営利団体消費支出","7311 一般政府消費支出","7321 一般政府消費支出（社会資本等減耗分）","7411 県内総固定資本形成（公的）","7511 県内総固定資本形成（民間）","7611 在庫純増","7711 調整項","8100 移輸出","合計"
"0153 特用林産物","0.008164265905966996","0.11985684053901031","4.3963701818462144E-4","0.003369910400361068","7.001473416254463E-5","4.6080739570004845E-4","3.2096352156176547E-4","2.453247827938547E-4","3.792491045104207E-5","0.8670343107918077","1.0"
"0171 海面漁業","0.0033298727462162565","0.04150818967198842","2.9715969148598703E-4","0.0021297746576367754","3.0295574626365663E-5","1.3583369085573704E-5","4.4072471922303E-5","7.497145383097049E-4","9.352314578934977E-4","0.9509621058208351","1.0"
"0172 内水面漁業","0.046334221469475315","0.2646372401177586","0.0025460661739927287","0.020458899327481253","2.1143209522658118E-4","7.21809895822086E-5","1.0325990846697338E-4","6.531429501398528E-4","8.975895015842628E-4","0.6640859674662922","1.0"
"0611 金属鉱物","-","-","-","-","-","-","-","-","-","-","-"
"0621 石炭・原油・天然ガス","-","-","-","-","-","-","-","-","-","-","-"
"0631 砂利・砕石","4.572217224054893E-5","0.0031601726539329765","2.5764251521173964E-5","5.978772711038617E-4","2.0294218608985558E-4","0.27772685232472266","0.1269528491730109","-0.007454757165451571","4.130364070805497E-4","0.5983295407257491","1.0"
"0639 その他の鉱物","-","-","-","-","-","-","-","-","-","-","-"
"1111 食肉","0.03874567501002283","0.5446724527938561","0.0014745462931596899","0.012707741959837128","2.0693607353203318E-4","8.467226118565496E-5","1.7021645109671827E-4","0.008939214040845493","5.850907228225564E-4","0.392413454393642","1.0"
"1112 畜産食料品","0.02823350264597126","0.6161374307222268","0.0021648315589196452","0.0157036223195065","2.990445902457944E-4","2.6912243063689624E-5","4.131595321881985E-5","0.003784250382791631","3.004191703701038E-5","0.3335790476670189","1.0"
"1113 水産食料品","0.01819940929294922","0.3974413287911793","0.0014568513470156856","0.009987713849034605","1.6049616719755194E-4","1.8331089758226948E-5","2.50911358669938E-5","0.001898858985791227","0.001974551017634144","0.5688373683235731","1.0"
"1114 精穀・製粉","0.022375655892250563","0.6198397677300044","0.003412130853899678","0.02143374326358789","3.539675505974827E-4","5.9940976508509456E-5","1.6426130724390997E-4","-5.377366343732869E-4","8.405356777929865E-5","0.33281421549250145","1.0"
"1115 めん・パン・菓子類","0.018554766337726573","0.483128548568889","6.517828211906382E-4","0.003792550295075855","7.879208720636367E-5","1.5652265118724614E-5","2.0164313299426857E-5","0.0016526768652838668","2.9081776492765644E-4","0.4918142486812819","1.0"
"1116 農産保存食料品","0.0026742065911448732","0.05985033370454786","2.1948849864862036E-4","0.0015184591145696723","2.4219926091586812E-5","3.1431514884023254E-6","4.3236407460513715E-6","0.0048705917241391354","3.84134015611884E-4","0.9304510996330118","1.0"
"1117 砂糖・油脂・調味料類","0.010176574536220543","0.13645122857955846","5.631870154386219E-4","0.00447283566751247","7.914320782946715E-5","8.143461529797826E-5","1.648523023537992E-4","0.002893592584743325","0.0011937453840525896","0.8439234061069927","1.0"
"1119 その他の食料品","0.021041354994547967","0.39915332964840566","0.00137005518460449","0.03049125426641117","9.197657324572498E-4","1.8597011701916727E-5","2.8567764512054767E-5","0.003116010326935092","1.4108362959616212E-4","0.5437199814408281","1.0"
"1121 酒類","0.03242475636397704","0.22941049224220786","7.884906635106325E-5","0.0020224249495517277","1.5112899958441215E-5","6.616413074531235E-5","8.756830692665115E-5","0.001214224873933196","2.546313201977714E-4","0.734425775846151","1.0"
"1129 その他の飲料","0.008940548898770646","0.12981882067011605","3.4971988076201336E-4","0.0026163874256582005","4.1545030015498065E-5","1.4105172293378842E-5","3.2273439448894755E-5","1.7075040180046E-4","1.6336940299958394E-4","0.8578524796781353","1.0"
"1131 飼料・有機質肥料（別掲を除く。）","0.0028407445679863672","0.0919001068715841","7.256836377653122E-4","0.004592244760817591","4.214335588120405E-4","3.368994830045142E-4","0.002584722656474477","2.681762983306155E-4","9.35001062642944E-5","0.8962364880589607","1.0"
"1141 たばこ","-","-","-","-","-","-","-","-","-","-","-"
