"""","7111 家計外消費支出（列）","7211 家計消費支出","7212 対家計民間非営利団体消費支出","7311 一般政府消費支出","7321 一般政府消費支出（社会資本等減耗分）","7411 県内総固定資本形成（公的）","7511 県内総固定資本形成（民間）","7611 在庫純増","7711 調整項","8100 移輸出"," 平均"
"2029 その他の無機化学工業製品","0.00008293423317875189","0.0000713987906307163","0.00004975269411968231","0.00007757832518737767","0.00007522382845495903","0.00011840285437397944","0.00006708504504936322","0.0007810899903103006","0.0029357268719388627","0.0018891711791212788","0.0008615641013167805"
"2031 石油化学基礎製品","0.000003594865646868311","0.000003692759889677464","0.000002994004488566186","0.000004392741329093599","0.000001478241142676161","0.000003966407892910496","0.000003494689785129057","0.000976615639831141","0.012904533036746324","0.0033151043688876176","0.0014478383348800951"
"2041 脂肪族中間物・環式中間物","0.000006789197877868964","0.000007687273106914263","0.000004441739567231228","0.000003843942144926058","0.000001646199390986828","0.00000468014741690733","0.000003887900631779229","0.00016671404783775824","0.01873329579426814","0.0023685717587218513","0.0010450906798190893"
"2042 合成ゴム","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2049 その他の有機化学工業製品","0.000015780972840386243","0.00001587883596304329","0.000012053353576583268","0.000020913341220406986","0.000007359755660333167","0.000012404458369958502","0.000010754154623211296","0.00026323801017607553","0.004030459339836084","0.002079316005426674","0.0009061032537588203"
"2051 合成樹脂","0.000001682967403240658","0.000001771889467271509","0.00000118015767102883","0.00000169374902916329","0.000000806693015409875","0.000003084392303535883","0.000002808908040155601","0.00003938711790630921","0.001057080481005751","0.00024787179614070326","0.00010897877725180164"
"2061 化学繊維","0.000000275886147625046","0.000000174847835897769","0.000000088985676142085","0.000000074794217373943","0.000000057343566200441","0.000000076643124772909","0.000000249620433769144","0.000003899779762041376","0.000024198646150579878","0.000004790953893003291","0.00000221116359641338"
"2071 医薬品","0.0000707452346829721","0.00004382301704571177","0.000024001138151203706","0.0003618923831117943","0.000004293844789124782","0.000000277859442251278","0.000000170009686114475","0.0000763667797848653","0.00009851480355857695","0.0009505580204444285","0.00046023790856775354"
"2081 油脂加工製品・石けん・界面活性剤・化粧品","0.000573936064598506","0.0007458348492936816","0.00011764932554255786","0.00010050170842258561","0.00003830361742817985","0.00010001689576511723","0.000060553321950585584","0.0023530416801486745","0.005690219635613986","0.014483240907208405","0.006485184888023518"
"2082 塗料・印刷インキ","0.000005259292569698838","0.000010895166201961917","0.000014050140700834316","0.000007254284097711431","0.000014937189393359046","0.00006012149011359662","0.00005307724993105528","0.000011021982819364812","0.0004603758877364305","0.00029808732177045907","0.00013851360528960866"
"2083 写真感光材料","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.000002586708310206929","0.000001105581798206683"
"2084 農薬","0.000020063381902067158","0.000026785754528864073","0.000004827334850325174","0.000003954419781461098","0.000007167074247942806","0.000000826069850033665","0.000008617183730214505","0.0006103099651530083","0.0010858395943379698","0.0009176327508593794","0.00040985496662090644"
"2089 その他の化学最終製品","0.00026656947902531884","0.00019787140781700555","0.0002898619878833389","0.00017966918255421968","0.00007305141703210606","0.00016065817862991773","0.00015668216838461574","0.0019217371430503677","0.02194956632665571","0.0046795626722037215","0.002156516267530579"
"2111 石油製品","0.0014886319033236364","0.004729491278655639","0.001393198159012315","0.0014412427464993145","0.0019806511393448104","0.003156759114602582","0.0010894052509464968","0.03490542015864902","0.03882506828795808","0.0706254072529534","0.03247757090411955"
"2121 石炭製品","0.00002006894082098815","0.000025223390568586437","0.000025114835373237436","0.000016017059220390096","0.00001380918791648417","0.0009745580273291441","0.00011144613083632076","0.000959474274397366","0.0007746698609290647","0.0017494279122953098","0.0008080223542321994"
"2211 プラスチック製品","0.00012993669681081669","0.00014288158748203885","0.00007474633950116986","0.00004648322605249923","0.00006637050221337347","0.00027218546594431117","0.00017878045025153275","0.000016529089251850052","0.0054066282442351","0.00421577809007607","0.0018848590256855086"
"2221 タイヤ・チューブ","0.000000043595037444859","0.000000167444819483364","0.000000045376209841138","0.000000064704129074607","0.000000134986212430611","0.000000114361036768827","0.00000005517721077787","0.00000000246717630309","0.0000963333915803229","0.00004162912030666235","0.000018005189285080253"
"2229 その他のゴム製品","0.00010231838048010794","0.00020050206363457943","0.0002654728491649506","0.00012826242363632684","0.00012288245340481117","0.0002763499912906478","0.0000992711650341628","-0.0014187282114145171","0.0027332492387917434","0.001550244000962674","0.0007505321007254516"
"2311 革製履物","0.000000604130069699305","0.000021912277471814794","0.000000290464663607742","0.000001103201991563589","0.000003288863025531068","0.00000055677843165743","0.000000305274727010909","-0.00002826507628039432","0.000000352803941862859","0.000000608273183123732","0.000007107311559900108"
"2312 なめし革・毛皮・その他の革製品","0.000040305176084007585","0.00003616559461549173","0.000010047157958165947","0.000001993969902646253","0.000002330025329590205","0.000000734870510770457","0.000000689469994211397","-0.000020997596970681746","0.00015225621678384172","0.00008667628973391365","0.0000494353004055274"
"2511 ガラス・ガラス製品","0.000002435082038244702","0.000001045445889225189","0.000000976894120910471","0.000001255339575157087","0.000001077894155146688","0.000002777824045218629","0.000004257320048111739","-0.000002990495615240841","0.000055249006801679336","0.000007353366569378268","0.000004106446679053411"
