"""","7111 家計外消費支出（列）","7211 家計消費支出","7212 対家計民間非営利団体消費支出","7311 一般政府消費支出","7321 一般政府消費支出（社会資本等減耗分）","7411 県内総固定資本形成（公的）","7511 県内総固定資本形成（民間）","7611 在庫純増","7711 調整項","8100 移輸出","平均"
"2071 医薬品","0.00023163359097811833","0.00014348503968192723","0.00007858437168861858","0.0011849057059950684","0.000014058878906327913","0.00000090976559317757","0.000000556644617439329","0.0002500396176827041","0.0003225565342321148","0.0031123109379067575","0.0015069079909557088"
"2081 油脂加工製品・石けん・界面活性剤・化粧品","0.0023735438281939623","0.0030844406068668583","0.00048654518814402354","0.0004156302843876005","0.0001584066943201388","0.0004136253152596029","0.000250421558179999","0.009731131918512614","0.02353221295934368","0.05989623093575556","0.026819835021925267"
"2082 塗料・印刷インキ","0.000026878163394971712","0.00005568088359999238","0.00007180470994428666","0.0000370737757422379","0.00007633806483584406","0.0003072571478781529","0.0002712568234788937","0.000056328993154382085","0.0023527990066530007","0.0015234063582385375","0.0007078882313660502"
"2083 写真感光材料","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.000005542946379014848","0.000002369103853300035"
"2084 農薬","0.0000628420686319853","0.00008389773133356731","0.000015120068463754532","0.000012385943731682388","0.000022448547008585406","0.000002587397202725868","0.000026990546959222926","0.0019115989968260699","0.0034010420897028974","0.0028741884389152355","0.001283738407974847"
"2089 その他の化学最終製品","0.0010478870819690175","0.000777834330098869","0.001139450149234681","0.0007062812146195391","0.0002871657944764363","0.0006315487827583276","0.0006159190497931643","0.007554366443246334","0.08628394778210915","0.018395404047741506","0.008477285348135074"
"2111 石油製品","0.005223850504351087","0.016596551065557866","0.004888958035474297","0.0050575542760996324","0.006950425709746818","0.01107757912222205","0.0038228995071875405","0.12248877394958226","0.1362434542110051","0.24783599523470162","0.1139690576083929"
"2121 石炭製品","0.0002940397961530119","0.0003695601420737947","0.0003679696471993273","0.00023467371148998834","0.00020232511701640028","0.014278722840991138","0.0016328513739441155","0.014057723453089008","0.01135006426224783","0.02563171775252532","0.011838727835454059"
"2211 プラスチック製品","0.0004346575224890744","0.0004779601017153069","0.0002500375916898108","0.0001554932853395192","0.00022201917369365533","0.0009105007529715809","0.0005980471220455371","0.00005529225507148533","0.018085973365016713","0.01410240297753702","0.0063051329951727166"
"2221 タイヤ・チューブ","0.000000145316791482863","0.00000055814939827788","0.000000151254032803794","0.000000215680430248689","0.00000044995404143537","0.000000381203455896089","0.000000183924035926235","0.000000008223921010299","0.000321111305267743","0.00013876373435554117","0.00006001729761693418"
"2229 その他のゴム製品","0.00024139128021096173","0.0004730279114914289","0.000626308104374634","0.0003025989123288847","0.0002899063941753658","0.0006519696448567872","0.00023420223720496615","-0.0033470879583687185","0.00644832853874037","0.0036573622674226725","0.0017706682199564476"
"2311 革製履物","0.000001235110364718578","0.00004479843394237691","0.000000593838867820273","0.000002255435182752227","0.00000672389774108574","0.000001138302571388523","0.000000624117219666747","-0.0000577863781732506","0.000000721288058919623","0.000001243580729941852","0.000014530503633573557"
"2312 なめし革・毛皮・その他の革製品","0.00011576470702722945","0.00010387498261765834","0.0000288574920268089","0.000005727089273095789","0.000006692309173487522","0.000002110698367995659","0.000001980298801265321","-0.0000603093919381562","0.00043731098686477225","0.00024895202706322166","0.00014198829094111545"
"2511 ガラス・ガラス製品","0.000004963821077960353","0.00000213110123572827","0.00000199136109262519","0.00000255896144166637","0.000002197245777799017","0.000005662487476791821","0.000008678383174997007","-0.00000609601029260633","0.00011262297540342325","0.000014989554929886468","0.000008370833614993492"
"2521 セメント・セメント製品","0.0000786815154512464","0.0002530789673441065","0.0001546602603841059","0.0001714920742674505","0.00030557149553341793","0.029177583331575607","0.007477768129665911","-0.006084810637762358","0.0017128686318865713","0.00558292480663487","0.0039009664048438334"
"2531 陶磁器","0.000001555012992883495","0.000000499925494778462","0.000001263953947582879","0.000000733722742720322","0.000000301804306118191","0.000002468403239040766","0.000003862360177342207","0.000000081189876236202","0.000001692913757937883","0.000002594569373180052","0.000001737342825753339"
"2591 建設用土石製品","0.000000298269218155202","0.00000097270991145151","0.000000518729374199347","0.000000755617425292945","0.000001261633670133379","0.000010853499238820949","0.000013613119575545215","0.000000184337455670069","0.000004966046731678515","0.000003321939268852352","0.000003158805137733363"
"2599 その他の窯業・土石製品","0.00008677797420820835","0.00011767323523713868","0.0000568529789278099","0.000042476134118835895","0.00006807393665095212","0.0009529276593588454","0.00045746229480143435","0.0007074905445586738","0.007372699806957439","0.003345767495777239","0.0015553956498199166"
"2611 銑鉄・粗鋼","0.0011243908143492298","0.0018183689601191577","0.00311018340887627","0.0020922303721505092","0.0016432353262882484","0.022404868334927757","0.012861670150398","0.2568507407200667","0.07123327863087743","0.18492092055090156","0.08420695354092585"
"2612 鉄屑","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2621 熱間圧延鋼材","0.00031860656916702946","0.0005118214402848945","0.0007646312671239139","0.0005680395007519149","0.0005651957226212928","0.015997691833324907","0.009091685741693532","0.12323268205052548","0.058456349452662655","0.07527975096474365","0.03489579417731132"
"2622 鋼管","0.0001816317195418131","0.00029956356251047096","0.00051596385549703","0.00034340682173987014","0.000262724640718126","0.004074992887424182","0.0027277497855926684","0.0053776745416385385","0.09245646061191111","0.07799749664192901","0.03399316560920402"
"2623 冷延・めっき鋼材","0.0001519231390564208","0.0002228866813251804","0.00022258233385193156","0.00018108072836063376","0.00024891390371855926","0.002785020369125988","0.0018874647957974387","0.029225723637832133","0.03554978108597227","0.02973253876789837","0.01337374919213558"
